              Unnamed: 0 Unnamed: 1 Unnamed: 2 Unnamed: 3 Unnamed: 4 Unnamed: 5 Unnamed: 6 Unnamed: 7 Unnamed: 8 Unnamed: 9 Unnamed: 10        2 Unnamed: 12 Unnamed: 13 Unnamed: 14 Unnamed: 15 Unnamed: 16      Open Unnamed: 18     Daily Unnamed: 20 Unnamed: 21 Unnamed: 22 Unnamed: 23 Unnamed: 24 Unnamed: 25 Unnamed: 26 Unnamed: 27
15           Date/Symbol        UUP        FXE        FXF        FXY        FXA        FXC        FXB       USDU        UDN         CYB      CEW        EUFX         GLD         SLV         BNO         PCX  DX-Y.NYB    EURUSD=X  GBPUSD=X    CHFUSD=X    AUDUSD=X    USDZAR=X    CNYUSD=X    CADUSD=X    RUBUSD=X    NZDUSD=X    JPYUSD=X
182  2013-12-16 00:00:00    20.9892     135.24    109.237      93.87    83.6124    91.9296      161.1    22.3473    26.1863     24.5483  18.8727       35.85      115.94       18.62       44.18        4.98     80.58      1.3678     1.633     1.11682    0.892299      10.332    0.164978    0.939391     0.03029    0.821423  0.00961317
183  2013-12-23 00:00:00    20.9213     135.82    109.656      92.88    83.0976    91.4472     162.32    22.3917     26.235     23.5656  19.1806       35.58      117.12       19.27        44.3        4.95     80.39     1.37508   1.64837     1.12174    0.885583     10.5191    0.165052    0.933707     0.03064    0.815528   0.0094955
184  2013-12-30 00:00:00    21.0667     134.25    108.009      93.22    83.6498    91.9986      161.7    22.4451    26.0502     24.5969  19.0844       35.66      119.29       19.42       42.27        4.99     80.79     1.35969   1.64139       1.105    0.896298     10.6575    0.165522    0.940238     0.03011    0.827267  0.00953534
185  2014-01-06 00:00:00    20.9989     135.08    108.338      93.89     84.364    89.8114     162.44    22.3917    26.1474     24.6451  19.2383       35.82      120.26       19.38       42.32        4.91     80.66     1.36718   1.64897     1.10865    0.900333     10.6439    0.165503    0.916498      0.0303    0.829875  0.00961723
186  2014-01-13 00:00:00    21.1442     133.67     107.32      93.69    82.2644    89.2106      161.7    22.5786    25.9431     24.6644  19.0651       35.96      120.93       19.51        42.1        5.06     81.26     1.35291    1.6415     1.09721    0.877424     10.8695    0.165555    0.911876     0.02911    0.825423  0.00959306
187  2014-01-20 00:00:00    20.9504     135.17    109.317      95.52    81.5896    88.4327     162.58    22.4362    26.2058     24.6162  18.7669       35.86      122.29       19.16       42.77        4.79     80.46     1.36902   1.64894     1.11944    0.869943     11.1268    0.165593    0.903563     0.02896    0.823384  0.00979653
188  2014-01-27 00:00:00    21.1539     133.29    107.849      95.58    82.1239    87.9107     161.95    22.5608    25.9334     24.6548  18.7477       36.12      120.09       18.45       42.16         4.8     81.27     1.34882   1.64336     1.10336    0.875273     11.1156    0.165262    0.898731     0.02842    0.810373  0.00978761
189  2014-02-03 00:00:00    20.9795     134.75    108.967      95.47    83.9984    88.7084     161.74    22.4095    26.1572     24.6548  18.9305       35.95      122.17       19.27        43.3        4.71     80.69     1.36219   1.64104     1.11284    0.894614     11.0542    0.165196    0.905633     0.02832    0.828363  0.00975229
190  2014-02-10 00:00:00    20.8244     135.33    109.626      95.91    84.8722    89.1685     164.98    22.2494     26.342     24.6644  19.1709       35.85      127.15       20.65        43.4        4.79     80.13     1.36994   1.67588     1.12132    0.905469     10.8458    0.165101    0.911104     0.02846    0.838082  0.00983932
191  2014-02-17 00:00:00    20.8535     135.71    110.126      95.17    84.2621    87.9767      163.9    22.2939    26.2933     24.5486   19.017       35.69      127.58       20.97       43.71        4.94     80.24      1.3741   1.66337     1.12689    0.897827     10.9349    0.164433    0.899564     0.02815     0.82802  0.00975229
192  2014-02-24 00:00:00    20.7178     136.35    111.174      95.92    83.8585    88.4495     164.94    22.2138    26.4587     24.4135  19.1325       35.45      127.62       20.35       43.38        4.95     79.78     1.37752   1.67302     1.13701    0.890234     10.8145    0.162997    0.903473     0.02773     0.83619  0.00987138
193  2014-03-03 00:00:00    20.7081     137.03    111.394      94.47    85.1538    88.3018     164.74    22.1871    26.4587     24.4618  19.1613       35.32      129.09       20.08       43.29        4.54     79.72       1.388   1.67316     1.13947    0.905715     10.7448    0.163503    0.901746     0.02747     0.84717  0.00968692
194  2014-03-10 00:00:00    20.6209     137.38    112.063      96.36    84.9111    88.2762     163.86    22.1337    26.5463     24.2495  19.1228       35.15       133.1       20.62       43.21           4     79.44     1.39121   1.66442     1.14666    0.902772     10.7004    0.162859    0.901145     0.02734    0.853679  0.00986777
195  2014-03-17 00:00:00     20.805     136.26    110.835      95.56    85.4845    87.3895     162.43    22.2316    26.3322     24.1337  19.0747       35.39      128.47       19.52       42.74        4.25     80.11     1.37958   1.64908     1.13353    0.909504     10.8796    0.160898    0.890623     0.02752    0.854336  0.00978531
196  2014-03-24 00:00:00    20.8147     135.83    110.216       94.9     87.073    88.5717      163.9    22.2049    26.2739     24.1337  19.3152       35.58      124.56       19.06       43.16        4.05     80.18     1.37501   1.66425     1.12733    0.925326     10.5827    0.161233    0.904437     0.02791    0.866776   0.0097177
197  2014-03-31 00:00:00    20.8729     135.31    109.606      94.52    87.3173    89.2218     163.24    22.2227    26.2058     24.1048  19.4307       35.76      125.57       19.16       42.61        4.13     80.42     1.36979   1.65804     1.12108     0.92885     10.5345    0.161231    0.910299     0.02766    0.859106  0.00967651
198  2014-04-07 00:00:00    20.6112     137.06    111.624         96    88.4894    89.2584     164.77    21.9736    26.5365     24.1241  19.6134       35.32      126.93       19.19       42.88        4.13     79.45      1.3845   1.67316     1.13999     0.93791     10.5105    0.161254    0.911178     0.02803    0.868131  0.00985668
199  2014-04-14 00:00:00    20.7081      136.4    110.605      95.28    87.8775    88.9727     165.29    22.0715    26.4101     24.0951  19.4788       35.31      124.75       18.88       43.83        4.13     79.83      1.3816   1.67983      1.1325    0.934056     10.4858    0.161054    0.907301     0.02806    0.859771  0.00976334
200  2014-04-21 00:00:00    20.6791     136.57    110.885      95.52    87.3974     88.815     165.39    22.0626    26.4393     24.0179  19.3922       35.35      125.43       18.94       43.76        4.13     79.77     1.38406   1.68005      1.1352    0.927386     10.6538    0.160161    0.905838   0.0277662    0.858148   0.0097878
201  2014-04-28 00:00:00    20.6112     136.95    111.234      95.44    87.2844     89.219     166.11    21.9291    26.5268     24.0276  19.5172       35.25      125.06       18.69       43.38        4.13     79.52     1.38769   1.68785     1.13965     0.92816     10.4588     0.15979    0.910697     0.02785    0.866326  0.00978292
202  2014-05-05 00:00:00    20.6888     135.81    110.196       95.8    88.2654    89.9344     165.78    21.9291    26.4198     24.1241  19.7481       35.55       124.1       18.42        43.1        3.71      79.9     1.37591   1.68591     1.12793    0.935891     10.3495    0.160831    0.917212     0.02838     0.86259   0.0098199
203  2014-05-12 00:00:00    20.7275     135.23    109.517      96.05    88.3503    90.2498     165.56    22.0003    26.3517     24.0951  19.7481        35.7       124.5       18.61       44.07        3.96     80.04     1.36983   1.68248      1.1208    0.936417     10.3452    0.160681    0.920192     0.02877    0.864155  0.00985231
204  2014-05-19 00:00:00    20.8147     134.54    109.057      95.64    87.1529    90.1512     165.57    22.0626    26.2252     24.0758  19.8828          36      124.51       18.66       44.39        3.89     80.39     1.36279    1.6837     1.11656    0.924044     10.3086    0.160601    0.919701     0.02931     0.85492  0.00980777
205  2014-05-26 00:00:00     20.805     134.52    109.087      95.79    87.8506    90.3976     164.94    21.9825     26.235     24.0469     19.7       35.83      120.43       18.08       43.93        4.01     80.37     1.36303   1.67572     1.11671    0.931272     10.5658        0.16    0.922152     0.02863    0.849401  0.00982444
206  2014-06-02 00:00:00     20.805     134.65    109.347      95.08     87.992    89.6585     165.41    22.0181    26.2252     24.0758  19.8154       35.85      120.61       18.28       43.63           4     80.41     1.36429   1.68019     1.11958    0.933532     10.6045    0.160244     0.91457     0.02904    0.850268    0.009758
207  2014-06-09 00:00:00    20.8729     133.59    108.458      95.61    88.8147    90.2961     166.98    22.0537    26.1474     24.2013  19.7769       36.11      122.96       18.92       45.36        4.02     80.58     1.35336   1.69742     1.11086    0.939761     10.6871    0.161303    0.920853     0.02907    0.867152  0.00980325
208  2014-06-16 00:00:00     20.776     134.15    109.017      95.48    88.7485    91.1733     167.48    22.0181     26.235     24.1627  19.6808       35.76       126.5       20.03       46.27        3.91     80.37      1.3596   1.70198     1.11714    0.938262     10.6581     0.16061    0.929714       0.029    0.870246  0.00979489
209  2014-06-23 00:00:00    20.6791     134.64    109.547      96.14    89.0885    91.9323     167.65    21.8758    26.3517     24.2013  19.8058       35.75      126.66       20.17       45.66        4.12     80.04     1.36467   1.70375     1.12261    0.941797      10.589     0.16078    0.937436     0.02961     0.87727  0.00985931
210  2014-06-30 00:00:00    20.7275     134.25    109.197      95.35    88.3614    92.2477     168.72    21.9291    26.2836     24.2109  19.7962       35.86      127.16       20.29       44.67        4.19     80.21     1.35901   1.71585     1.11786    0.935716     10.7431     0.16113    0.938641     0.02905    0.873744   0.0097924
211  2014-07-07 00:00:00    20.7178     134.24    109.417      96.16    88.8708    91.3309     168.37    21.9202    26.3031     24.2398  19.8924        35.9      128.78       20.57        43.3         4.2     80.19     1.36054   1.71227     1.12086    0.938703     10.7071    0.161457    0.931888     0.02923    0.881446   0.0098666
212  2014-07-14 00:00:00    20.8147     133.44    108.678      96.15    88.8992    91.3408     168.08    21.9736    26.1766     24.2495  19.7769       36.04      126.13       20.02        43.2         4.2     80.52     1.35316   1.70911     1.11366     0.93985     10.6541    0.161342    0.930951     0.02842    0.869641   0.0098669
213  2014-07-21 00:00:00    20.9504      132.5    107.889      95.73    88.9654    90.6605     166.99    22.0003    25.9918     24.2881  19.9309       36.15      125.79       19.87       43.67         4.2     81.03     1.34324   1.69811     1.10552    0.940026     10.5093    0.161768     0.92471     0.02845    0.855652  0.00982569
214  2014-07-28 00:00:00    21.0376     132.38    107.699         95    88.0575    89.6944     165.37    22.1693    25.8945     24.3267  19.6615        36.3      124.38       19.52       42.21         4.2      81.3     1.34239     1.682     1.10364    0.930752     10.6593     0.16208    0.915349     0.02796    0.850847  0.00974934
