Date,Open,High,Low,Close,Currency
2020-01-02,12.21,12.21,12.21,12.21,EUR
2020-01-03,12.22,12.22,12.22,12.22,EUR
2020-01-07,12.2,12.2,12.2,12.2,EUR
2020-01-08,12.2,12.2,12.2,12.2,EUR
2020-01-09,12.21,12.21,12.21,12.21,EUR
2020-01-10,12.22,12.22,12.22,12.22,EUR
2020-01-13,12.22,12.22,12.22,12.22,EUR
2020-01-14,12.23,12.23,12.23,12.23,EUR
2020-01-15,12.22,12.22,12.22,12.22,EUR
2020-01-16,12.22,12.22,12.22,12.22,EUR
2020-01-17,12.23,12.23,12.23,12.23,EUR
2020-01-20,12.24,12.24,12.24,12.24,EUR
2020-01-21,12.23,12.23,12.23,12.23,EUR
2020-01-22,12.24,12.24,12.24,12.24,EUR
2020-01-23,12.24,12.24,12.24,12.24,EUR
2020-01-24,12.24,12.24,12.24,12.24,EUR
2020-01-27,12.22,12.22,12.22,12.22,EUR
2020-01-28,12.23,12.23,12.23,12.23,EUR
2020-01-29,12.25,12.25,12.25,12.25,EUR
2020-01-30,12.24,12.24,12.24,12.24,EUR
2020-01-31,12.23,12.23,12.23,12.23,EUR
2020-02-04,12.25,12.25,12.25,12.25,EUR
2020-02-05,12.26,12.26,12.26,12.26,EUR
2020-02-06,12.28,12.28,12.28,12.28,EUR
2020-02-07,12.28,12.28,12.28,12.28,EUR
2020-02-10,12.29,12.29,12.29,12.29,EUR
2020-02-11,12.3,12.3,12.3,12.3,EUR
2020-02-12,12.31,12.31,12.31,12.31,EUR
2020-02-13,12.31,12.31,12.31,12.31,EUR
2020-02-14,12.32,12.32,12.32,12.32,EUR
2020-02-17,12.33,12.33,12.33,12.33,EUR
2020-02-18,12.32,12.32,12.32,12.32,EUR
2020-02-19,12.33,12.33,12.33,12.33,EUR
2020-02-20,12.33,12.33,12.33,12.33,EUR
2020-02-21,12.32,12.32,12.32,12.32,EUR
2020-02-24,12.27,12.27,12.27,12.27,EUR
2020-02-25,12.23,12.23,12.23,12.23,EUR
2020-02-26,12.2,12.2,12.2,12.2,EUR
2020-02-27,12.13,12.13,12.13,12.13,EUR
2020-02-28,12.08,12.08,12.08,12.08,EUR
2020-03-02,12.1,12.1,12.1,12.1,EUR
2020-03-03,12.13,12.13,12.13,12.13,EUR
2020-03-04,12.17,12.17,12.17,12.17,EUR
2020-03-05,12.14,12.14,12.14,12.14,EUR
2020-03-06,12.08,12.08,12.08,12.08,EUR
2020-03-09,11.86,11.86,11.86,11.86,EUR
2020-03-10,11.84,11.84,11.84,11.84,EUR
2020-03-11,11.76,11.76,11.76,11.76,EUR
2020-03-12,11.47,11.47,11.47,11.47,EUR
2020-03-13,11.47,11.47,11.47,11.47,EUR
2020-03-16,11.26,11.26,11.26,11.26,EUR
2020-03-17,11.16,11.16,11.16,11.16,EUR
2020-03-18,10.95,10.95,10.95,10.95,EUR
2020-03-19,10.96,10.96,10.96,10.96,EUR
2020-03-20,10.97,10.97,10.97,10.97,EUR
2020-03-23,10.91,10.91,10.91,10.91,EUR
2020-03-24,11.02,11.02,11.02,11.02,EUR
2020-03-25,11.15,11.15,11.15,11.15,EUR
2020-03-26,11.25,11.25,11.25,11.25,EUR
2020-03-27,11.26,11.26,11.26,11.26,EUR
2020-03-30,11.26,11.26,11.26,11.26,EUR
2020-03-31,11.28,11.28,11.28,11.28,EUR
2020-04-01,11.23,11.23,11.23,11.23,EUR
2020-04-02,11.27,11.27,11.27,11.27,EUR
2020-04-03,11.25,11.25,11.25,11.25,EUR
2020-04-06,11.33,11.33,11.33,11.33,EUR
2020-04-07,11.37,11.37,11.37,11.37,EUR
2020-04-08,11.4,11.4,11.4,11.4,EUR
2020-04-09,11.5,11.5,11.5,11.5,EUR
2020-04-13,11.52,11.52,11.52,11.52,EUR
2020-04-14,11.57,11.57,11.57,11.57,EUR
2020-04-15,11.56,11.56,11.56,11.56,EUR
2020-04-16,11.5,11.5,11.5,11.5,EUR
2020-04-17,11.52,11.52,11.52,11.52,EUR
2020-04-20,11.49,11.49,11.49,11.49,EUR
2020-04-21,11.43,11.43,11.43,11.43,EUR
2020-04-22,11.45,11.45,11.45,11.45,EUR
2020-04-23,11.49,11.49,11.49,11.49,EUR
2020-04-24,11.5,11.5,11.5,11.5,EUR
2020-04-27,11.54,11.54,11.54,11.54,EUR
2020-04-28,11.57,11.57,11.57,11.57,EUR
2020-04-29,11.6,11.6,11.6,11.6,EUR
2020-04-30,11.58,11.58,11.58,11.58,EUR
2020-05-04,11.54,11.54,11.54,11.54,EUR
2020-05-05,11.55,11.55,11.55,11.55,EUR
2020-05-06,11.54,11.54,11.54,11.54,EUR
2020-05-07,11.56,11.56,11.56,11.56,EUR
2020-05-08,11.59,11.59,11.59,11.59,EUR
2020-05-11,11.58,11.58,11.58,11.58,EUR
2020-05-12,11.57,11.57,11.57,11.57,EUR
2020-05-13,11.56,11.56,11.56,11.56,EUR
2020-05-15,11.55,11.55,11.55,11.55,EUR
2020-05-18,11.61,11.61,11.61,11.61,EUR
2020-05-19,11.64,11.64,11.64,11.64,EUR
2020-05-20,11.68,11.68,11.68,11.68,EUR
2020-05-21,11.68,11.68,11.68,11.68,EUR
2020-05-22,11.68,11.68,11.68,11.68,EUR
2020-05-25,11.7,11.7,11.7,11.7,EUR
2020-05-26,11.74,11.74,11.74,11.74,EUR
2020-05-27,11.79,11.79,11.79,11.79,EUR
2020-05-28,11.82,11.82,11.82,11.82,EUR
2020-05-29,11.82,11.82,11.82,11.82,EUR
2020-06-01,11.85,11.85,11.85,11.85,EUR
2020-06-02,11.88,11.88,11.88,11.88,EUR
2020-06-03,11.91,11.91,11.91,11.91,EUR
2020-06-04,11.92,11.92,11.92,11.92,EUR
2020-06-05,11.99,11.99,11.99,11.99,EUR
2020-06-08,12.03,12.03,12.03,12.03,EUR
2020-06-09,12.0,12.0,12.0,12.0,EUR
2020-06-10,11.99,11.99,11.99,11.99,EUR
2020-06-11,11.89,11.89,11.89,11.89,EUR
2020-06-12,11.9,11.9,11.9,11.9,EUR
2020-06-15,11.9,11.9,11.9,11.9,EUR
2020-06-16,11.97,11.97,11.97,11.97,EUR
2020-06-17,11.98,11.98,11.98,11.98,EUR
2020-06-18,11.97,11.97,11.97,11.97,EUR
2020-06-19,11.97,11.97,11.97,11.97,EUR
2020-06-22,11.98,11.98,11.98,11.98,EUR
2020-06-23,12.02,12.02,12.02,12.02,EUR
2020-06-24,11.99,11.99,11.99,11.99,EUR
2020-06-25,11.99,11.99,11.99,11.99,EUR
2020-06-26,11.97,11.97,11.97,11.97,EUR
2020-06-29,11.99,11.99,11.99,11.99,EUR
2020-06-30,12.0,12.0,12.0,12.0,EUR
2020-07-01,12.0,12.0,12.0,12.0,EUR
2020-07-02,12.04,12.04,12.04,12.04,EUR
2020-07-03,12.03,12.03,12.03,12.03,EUR
2020-07-06,12.08,12.08,12.08,12.08,EUR
2020-07-07,12.07,12.07,12.07,12.07,EUR
2020-07-08,12.06,12.06,12.06,12.06,EUR
2020-07-09,12.06,12.06,12.06,12.06,EUR
2020-07-10,12.06,12.06,12.06,12.06,EUR
2020-07-13,12.07,12.07,12.07,12.07,EUR
2020-07-14,12.07,12.07,12.07,12.07,EUR
2020-07-15,12.1,12.1,12.1,12.1,EUR
2020-07-16,12.1,12.1,12.1,12.1,EUR
2020-07-17,12.11,12.11,12.11,12.11,EUR
2020-07-20,12.14,12.14,12.14,12.14,EUR
2020-07-21,12.16,12.16,12.16,12.16,EUR
2020-07-22,12.16,12.16,12.16,12.16,EUR
2020-07-23,12.16,12.16,12.16,12.16,EUR
2020-07-24,12.15,12.15,12.15,12.15,EUR
2020-07-27,12.15,12.15,12.15,12.15,EUR
2020-07-28,12.15,12.15,12.15,12.15,EUR
