WEO Country Code	ISO	WEO Subject Code	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	Estimates Start After
512	AFG	NGDP_R	"Afghanistan, Rep. of."	"Gross domestic product, constant prices"	Real GDP is expressed in billions of national currency units; the base year is country-specific.	National currency	Billions	Definition: Gross domestic product at constant market prices. Data refer to fiscal years Source: National Statistical Office Latest actual data: 2005 Base Year: 2002 Use of chain weighted prices indices: No Primary domestic currency:  Afghanis Data last updated: 09/2007	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	142.2	182.862	211.519	228.424	260.404	279.835	316.284	342.816	2005
512	AFG	NGDP_RPCH	"Afghanistan, Rep. of."	"Gross domestic product, constant prices"	Annual percentages of constant price GDP are year-on-year changes;  the base year is country-specific.	Annual percent change		"See notes for:  Gross domestic product, constant prices (National currency)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	28.6	15.7	8	14	7.5	13	8.4	2005
512	AFG	NGDP	"Afghanistan, Rep. of."	"Gross domestic product, current prices"	GDP is expressed in billions of national currency units.	National currency	Billions	Definition: Gross domestic product at market prices. Data refer to fiscal years Source: National Statistical Office Latest actual data: 2005 Primary domestic currency:  Afghanis Data last updated: 09/2007	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	182.862	225.108	284.504	362.94	412.074	497.454	574.869	2005
512	AFG	NGDPD	"Afghanistan, Rep. of."	"Gross domestic product, current prices"	Values are based upon GDP in national currency and the exchange rate projections provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise.	U.S. dollars	Billions	"See notes for:  Gross domestic product, current prices (National currency)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4.084	4.585	5.971	7.309	8.256	9.933	11.479	2005
512	AFG	NGDP_D	"Afghanistan, Rep. of."	"Gross domestic product, deflator"	The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation.   Please note:   Data are expressed in the base year of each country's national accounts.	Index		"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	100	106.424	124.551	139.376	147.256	157.281	167.69	2005
512	AFG	NGDPRPC	"Afghanistan, Rep. of."	"Gross domestic product per capita, constant prices"	GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"8,020.24"	"8,887.35"	"9,237.41"	"10,135.36"	"10,482.82"	"11,540.12"	"12,182.90"	2005
512	AFG	NGDPPC	"Afghanistan, Rep. of."	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"8,020.24"	"9,458.32"	"11,505.25"	"14,126.26"	"15,436.61"	"18,150.39"	"20,429.51"	2005
512	AFG	NGDPDPC	"Afghanistan, Rep. of."	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	179.103	192.634	241.453	284.46	309.264	362.428	407.938	2005
512	AFG	NGAP_NPGDP	"Afghanistan, Rep. of."	Output gap in percent of potential GDP	"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, ""IMF Estimates of Potential Output: Theory and Practice,"" in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46."	Percent of potential GDP																																
512	AFG	PPPGDP	"Afghanistan, Rep. of."	Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP	"These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, ""Purchasing Power Parity Based Weights for the World Economic Outlook,"" in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23."	Current international dollar	Billions	"See notes for:  Gross domestic product, current prices (National currency)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	21.015	24.825	27.58	32.457	35.98	41.717	46.001	2005
